%time,field.time_val,field.id_val,field.position_val,field.speed_val,field.voltage_val,field.current_val
1680086596063667173,1251967,15,1049,0,74,0
1680086596064798214,1251969,16,3082,0,73,0
1680086596076980798,1251988,1,1947,0,74,0
1680086596083502673,1251991,2,777,0,73,0
1680086596084651756,1251993,3,3122,0,73,0
1680086596093584548,1251995,4,4065,0,73,0
1680086596094710173,1251998,5,1442,0,74,0
1680086596095910464,1252000,6,1538,0,74,0
1680086596097072131,1252001,7,2470,0,73,0
1680086596098129798,1252003,8,901,0,73,0
1680086596103638048,1252005,9,3396,0,73,0
1680086596104749923,1252008,10,968,0,73,0
1680086596105860964,1252010,11,883,0,73,0
1680086596106977006,1252012,12,4017,0,73,0
1680086596108098298,1252014,13,2033,0,72,0
1680086596113698923,1252016,14,1053,0,73,0
1680086596114830798,1252018,15,1049,0,74,0
1680086596115928756,1252020,16,3082,0,73,0
1680086596127964423,1252039,1,1947,0,74,0
1680086596134762964,1252042,2,777,0,73,0
1680086596135908173,1252044,3,3122,0,73,0
1680086596145808464,1252046,4,4065,0,73,0
1680086596146947548,1252049,5,1442,0,74,0
1680086596148008881,1252051,6,1538,0,74,0
1680086596149214048,1252053,7,2470,0,73,0
1680086596150448756,1252055,8,901,0,72,0
1680086596151694298,1252057,9,3396,0,73,0
1680086596155888173,1252059,10,968,0,73,0
1680086596157000423,1252061,11,883,0,73,0
1680086596158156548,1252063,12,4017,0,73,0
1680086596159194006,1252065,13,2033,0,72,0
1680086596166912173,1252067,14,1053,0,73,0
1680086596168009631,1252070,15,1049,0,74,0
1680086596169218964,1252072,16,3081,0,73,0
1680086596181226423,1252093,1,1947,0,74,0
1680086596186637964,1252095,2,777,0,73,0
1680086596187786714,1252097,3,3122,0,73,0
1680086596191120631,1252099,4,4065,0,73,0
1680086596192525298,1252102,5,1441,0,74,0
1680086596198018506,1252103,6,1538,0,74,0
1680086596199041839,1252106,7,2470,0,73,0
1680086596200191464,1252108,8,901,0,72,0
1680086596207057631,1252110,9,3396,0,73,0
1680086596208193339,1252112,10,968,0,73,0
1680086596209259381,1252114,11,883,0,73,0
1680086596210416923,1252116,12,4018,0,73,0
1680086596211655631,1252118,13,2033,0,72,0
1680086596218136298,1252120,14,1053,0,73,0
1680086596219246798,1252122,15,1049,0,74,0
1680086596220378464,1252124,16,3081,0,72,0
1680086596233626798,1252144,1,1947,0,74,0
1680086596238039506,1252147,2,777,0,73,0
1680086596248110839,1252149,3,3122,0,73,0
1680086596249252756,1252152,4,4065,0,73,0
1680086596250374631,1252154,5,1441,0,74,0
1680086596251580964,1252156,6,1539,0,74,0
1680086596253028673,1252158,7,2470,0,73,0
1680086596258380006,1252160,8,900,0,72,0
1680086596259474089,1252162,9,3396,0,73,0
1680086596260620173,1252164,10,968,0,73,0
1680086596261759798,1252166,11,883,0,73,0
1680086596263015839,1252168,12,4018,0,73,0
1680086596268579214,1252170,13,2033,0,72,0
1680086596269639006,1252172,14,1053,0,73,0
1680086596270788173,1252174,15,1049,0,74,0
1680086596271958131,1252176,16,3081,0,73,0
1680086596287316673,1252198,1,1947,0,74,0
1680086596291783423,1252201,2,777,0,73,0
1680086596299526214,1252203,3,3122,0,73,0
1680086596300577631,1252206,4,4065,0,73,0
